"Latitude" "Longitude" "Altitude" "Area" "Depth" "Temperature" "Secchi" "O2" "CO2" "CH4" "N2O" "pH" "TIC" "TOC" "TN" "TP" "NO3" "SiO2" "PO4" "PON" "POC" "POP" "Chla" "APA" "KdPAR" "PPA" "a.phyto.m" "a.dom.m" "a.tripton.m" "tot.phyto" "f.hetero" "esd" "car.chl" "G" "ZDW" "Zoopl.species" "Copepods" "Cladocera" "Fish.species" "C.P..at." "C.P.calc"
59.30387 14.53832 88 17.99 22 20.51 1.8 0.876143244 1.539330479 69.27682381 1.324700954 7.27 1.739 7.5375 0.4738 12.6 204.6 2942 4 122.55 652 9.5 15.89 76.36 1.25 618.29 0.14 1.5 0.2 1.211859143 0.013751602 14.79110829 0.177089815 63 37.37 11 5 6 15 176.8842035 177.2982456
59.8792 14.93423 163 9.6 20 20.47 2 0.853969028 1.537254166 21.11837047 1.420164195 6.935 0.902 8.522 0.298 6.75 39.15 5735 -1 32.79 256 3.7 1.7 38.71 2 113.2 0.06 1.65 0.15 0.208476031 0.052927643 10.95793734 0.158679446 35 12.71 11 5 6 8 176.3250579 178.7387387
59.63177 14.59643 165 16.88 26 20.33 2.5 0.867502151 1.260329806 16.13970842 1.4111214 7.23 1.471 7.441 0.2895 5.4 71.35 4535 -1 32.25 228 2.8 3.11 27.04 1.14 148.82 0.05 1.49 0.08 0.366823461 0.027662871 9.594056692 0.20259366 44 24.72 14 7 7 8 211.4075219 210.3571429
59.8913 14.48088 206 2.92 20 19.97 3.6 0.862248714 0.968283871 22.55404197 1.35799088 7.15 1.178 4.9925 0.1929 3.45 2.5 2047 -1 28.24 241 3.4 2.32 36.44 0.64 212.3 0.05 0.72 0.05 0.32224276 0.035379274 10.86633242 0.20018622 42 10.88 13 6 7 6 182.2177113 183.1127451
59.87902 14.41998 190 1.4 8 19.75 2 0.70704309 4.224473931 50.1019692 1.37970809 6.855 1.105 6.836 0.1894 6.7 7.1 4999 1 34.51 300 4.5 3.48 28.63 1.73 122.59 0.1 1.63 0.13 0.3187602 0.035089214 19.68504847 0.171312585 42 21.01 14 3 11 8 171.1550457 172.2222222
59.77375 14.40965 178 7.02 14 20.03 3.5 0.87858815 0.870135243 12.25673166 1.342939173 7.33 2.133 5.6115 0.2528 4.85 63.55 3580 -1 31.86 217 2.7 2.37 65.01 0.85 259.26 0.05 0.92 0.06 0.22590402 0.022343316 10.21794647 0.252199413 38 5.57 11 5 6 10 210.9480346 207.6234568
59.76797 15.95213 92 1.67 4 20.78 2 0.864008474 1.613573794 62.23135695 0.991091501 7.155 1.386 9.503 0.3102 9.65 7.95 3864 4 85.73 571 7.2 7.69 44.46 1 490.82 0.08 1.12 0.23 0.770932525 0.026586127 20.36678639 0.169641891 60 65.94 12 3 9 12 204.5865483 204.8726852
61.19408 14.94515 200 19.5 17.5 19.57 2 0.881246743 1.719150836 8.383747363 1.127458874 7.175 1.343 7.5525 0.2328 4.25 30.7 5776 -1 41.21 298 4.7 4.06 34.46 1.22 244.77 0.07 1.65 0.13 0.361674677 0.037064691 10.68003303 0.246053225 42 4.79 10 5 5 17 163.9498519 163.7943262
60.16062 16.38945 67 12.74 10.5 20.44 1.9 0.846830835 2.444169011 190.0841311 1.197809113 7.25 1.847 6.107 0.2578 8.5 97.5 5153 3 109 503 7.8 6.13 26.58 1.15 351.13 0.07 1.34 0.25 0.244010538 0.03224164 11.39061221 0.221027479 45 8.64 10 3 7 23 165.8394026 166.5918803
60.53093 15.67272 107 63.5 8 20.5 2.1 0.894385516 1.31265231 8.574950474 1.137324587 7.3 1.853 7.063 0.4761 8 205.15 4854 1 57.91 379 4.8 4.57 31.52 1.07 268.87 0.08 1.01 0.1 0.6558952 0.016107596 9.104395364 0.193080357 43 42.51 13 4 9 21 203.3966553 203.9756944
60.87842 13.20813 463 2.04 17 16.63 1.05 0.744627227 3.619021976 27.04790957 1.077767499 6.975 1.2 12.545 0.2718 5.55 3.35 3674 -1 33.83 246 5.5 2.8 14.38 2.33 96.5 0.07 3.66 0.23 0.321429937 0.06135015 13.51169395 0.170950156 34 6.53 8 4 4 9 115.9080073 115.5454545
60.99265 13.59872 451 1.44 3.5 17.68 1.1 0.715419733 3.775285043 46.52973988 1.132319616 6.71 0.5493 10.78 0.2341 7.25 2.6 3898 2 72.34 574 5.9 4.12 22.82 1.89 234.73 0.09 2.64 0.39 0.546333371 0.057378547 13.69820025 0.18522293 40 53.64 12 4 8 8 249.5729816 251.3276836
60.19463 14.00855 291 3.29 18 19.25 2.05 0.826941384 1.970544848 17.88923046 1.334675865 6.86 0.7215 9.1175 0.2517 3.75 41.15 4814 -1 37.38 246 2.9 2.31 27.77 1.23 130.29 0.04 2.08 0.13 0.244879734 0.087476083 10.67953304 0.287261475 41 8.07 11 5 6 7 217.9735759 219.137931
59.98293 15.23042 262 3.45 15 18.27 2.5 0.822078703 1.717528835 12.51565658 1.384582722 6.695 0.6592 5.9425 0.2413 2.05 21.75 4308 -1 39.06 316 4.4 2.36 77.7 1.07 120.25 0.04 1.11 0.08 0.179800835 0.071660707 8.771327113 0.136643234 45 11.19 16 9 7 10 183.9892351 185.530303
60.53813 10.653 398 13.74 24 16.91 3.55 0.887316715 1.537453678 16.90288623 1.17513342 7.425 5.004 5.5715 1.089 3 753.55 1790 -1 30.18 217 3.8 2.85 12.71 0.77 292.18 0.05 0.98 0.07 0.277551655 0.024993456 9.854553021 0.259234385 32 21.42 8 4 4 8 149.6850697 147.5219298
60.72303 10.26765 135 140.09 9 16.41 3.5 0.888504398 1.911172455 18.00623215 1.245059398 7.13 2.042 4.514 0.376 2.65 193.7 3134 -1 26.69 149 2.8 2.12 5.64 0.67 380.51 0.06 0.88 0.06 0.204910009 0.047951782 8.919837116 0.276517755 27 12.83 13 6 7 11 136.2692053 137.4702381
60.68212 16.07428 191 11.9 9 19.83 3.5 0.863373153 0.62768465 18.96501564 1.132753905 7.175 1.332 5.492 0.2198 3.55 3.75 3010 -1 38.77 340 3.1 2.23 45.06 0.62 195.67 0.04 0.51 0.06 0.377980018 0.034574434 9.338616072 0.222629223 43 33.73 13 5 8 12 283.8164791 283.3333333
61.65385 15.75923 355 1.89 9 18.79 5 0.905774626 0.721641023 18.47601586 1.11568804 7.185 1.985 3.7675 0.1671 3.15 0.95 4438 -1 57.33 298 2.8 2.28 25.45 0.54 138.06 0.02 0.43 0.09 0.169609545 0.037595172 11.56594348 0.184955409 23 6.11 8 3 5 6 274.66455 274.9404762
61.57602 15.42448 240 3.17 9 18.96 3 0.821649906 1.593740393 33.99101452 1.058584254 6.94 1.256 6.2985 0.2035 3.3 1.15 5648 -1 39.43 250 3.6 2.44 29.01 1.04 240.25 0.07 1.02 0.11 0.281581845 0.044635957 9.735762078 0.162046908 41 16.57 12 5 7 8 179.7516147 179.3981481
60.8824 10.35465 378 1.22 19 14.81 2 0.76261629 4.964622191 95.27565266 1.358971066 7.19 4.013 8.0215 0.5569 5.55 223.45 3072 2 31.49 201 3.6 1.68 15.54 1.19 188.49 0.07 1.66 0.15 0.188335615 0.057425968 8.118386573 0.220038047 23 119.96 9 5 4 3 142.3932466 144.2361111
61.01255 9.21507 379 1.53 18.4 15.71 5.05 0.885817967 1.87578408 44.37852238 1.198020367 7.08 1.703 3.6585 0.3563 3.1 175.65 2678 1 19.46 118 2.4 2.01 5.64 0.67 278.34 0.05 0.66 0.11 0.1131333 0.054854981 7.808528932 0.22861412 27 19.8 8 4 4 3 129.8334274 127.0138889
60.97753 9.24863 355 13.36 34 15.97 6.1 0.915106888 1.341606355 5.997372455 1.19523892 7.215 1.606 2.8325 0.3505 2 178.4 2163 1 27.6 155 3 2.69 5.75 0.47 525.75 0.06 0.57 0.05 0.1922663 0.000921248 8.483549336 0.185149157 27 9.41 10 5 5 3 132.4238402 133.4722222
60.63883 10.43533 384 4.8 17 15.07 2.3 0.735182988 5.278404284 33.95199634 1.2916696 6.465 0.6803 9.6795 0.3506 4.3 82.3 3021 2 54.67 363 4.1 2.56 12.7 1.51 136.76 0.06 2.01 0.2 0.218846315 0.046407087 9.18867367 0.167409809 31 42.18 10 5 5 7 228.6821596 228.7195122
59.97052 10.61845 145 1.09 8 14.74 2.3 0.795601651 4.229122625 85.44545787 1.426740974 6.94 1.762 7.026 0.3869 6.6 124.2 3850 2 33.27 278 5.4 2.99 20.37 0.97 274.35 0.06 1.45 0.18 0.178367629 0.04663049 8.063948665 0.218083305 36 6.25 11 4 7 13 133.2539844 132.9938272
62.41027 15.31322 244 50.73 8 18.9 3 0.863453049 1.776624949 20.70437965 1.13000571 7.33 2.764 5.8555 0.2022 3.1 5.15 4137 1 33.21 188 3.4 2.36 16.11 0.99 178.02 0.04 1.23 0.1 0.236875444 0.065214907 10.1582188 0.229369446 46 16.14 13 5 8 8 141.6761485 142.8431373
62.2666 15.97102 357 3.04 7 18.47 2.5 0.842017921 2.004213988 48.65741437 1.109289265 7.075 1.409 7.1735 0.2127 4.7 0.8 3766 2 52.95 316 3.6 3.16 33.84 1.09 171.15 0.05 1.26 0.12 0.51783445 0.059035779 10.2935406 0.210480602 46 42.6 12 5 7 6 226.2754304 226.7592593
59.53198 11.62597 118 15.95 20 18.95 1.15 0.878914972 2.184482516 17.34344004 1.340807248 7.04 1.558 9.1145 0.9793 12.2 575.95 3284 5 64.02 374 7.1 5.84 8.85 1.18 285.21 0.08 2.07 0.12 0.768507489 0.01092938 15.31153294 0.18522602 47 46.85 14 6 8 13 135.6414249 136.0798122
59.70107 11.8438 138 13.66 30 18.8 3.5 0.914141953 1.411944242 9.223830434 1.120189192 6.83 0.6783 6.6945 0.3952 1.2 170.95 3349 -1 18.41 197 2.4 2.28 24.12 0.8 277.85 0.05 1.24 0.07 0.285785589 0.035846909 7.40927897 0.238552674 37 7.44 11 4 7 7 213.1821908 212.0486111
